support,itemsets
0.6,"frozenset({'DEFB132_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.7,"frozenset({'CES1P1_upregulated', 'B4GALT6_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'B4GALT6_upregulated'})"
0.7,"frozenset({'CES1_upregulated', 'B4GALT6_upregulated'})"
0.65,"frozenset({'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'APLNR_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'B4GALT6_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.7,"frozenset({'CES1P1_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.7,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.65,"frozenset({'CES1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'CES1P1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'CES1P1_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'APLNR_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'APLNR_upregulated', 'B4GALT6_upregulated'})"
0.65,"frozenset({'APLNR_upregulated', 'CES1P1_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'APLNR_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.65,"frozenset({'APLNR_upregulated', 'CES1P1_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'APLNR_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'APLNR_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'APLNR_upregulated', 'CES1P1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.65,"frozenset({'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated'})"
0.6,"frozenset({'B4GALT6_upregulated', 'ALDOC_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'B4GALT6_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'B4GALT6_upregulated', 'ALDOC_upregulated', 'CES1P1_upregulated', 'APLNR_upregulated', 'CES1_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'ALDOC_upregulated', 'DEFB132_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'CES1P1_upregulated', 'DEFB132_upregulated', 'B4GALT6_upregulated'})"
0.6,"frozenset({'DEFB132_upregulated', 'CES1_upregulated', 'B4GALT6_upregulated', 'CCDC162P_upregulated'})"
