antecedents,consequents,confidence,support,zhangs_metric,lift
"frozenset({'KLB_downregulated', 'GYS2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'KLB_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'KLB_downregulated', 'FASN_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'ATP6V0D2_upregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'KLB_downregulated', 'SLC14A2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'KLB_downregulated', 'SLC27A2_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'MS4A6E_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'MS4A6E_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
frozenset({'HSPB7_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'HSPB7_downregulated', 'NNAT_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'HSPB7_downregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'HSPB7_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'P2RX6_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'P2RX6_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ALDOC_downregulated', 'P2RX6_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'RARRES1_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'KLB_downregulated', 'RARRES1_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'RARRES1_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
